code_insee,revenu_median,taux_chomage,age_median
01447,25960.0,7.9,44.3
01448,35120.0,7.1,42.8
01449,28910.0,6.0,42.8
01450,29770.0,5.7,41.0
01451,28600.0,7.3,43.0
01452,22930.0,14.3,41.9
01453,27050.0,6.6,49.3
01454,26750.0,7.7,38.2
01456,,6.9,58.5
01457,25050.0,8.4,44.2
